,oil_rents,map
887,,IBD1962
888,,IBD1963
889,,IBD1964
890,,IBD1965
891,,IBD1966
892,,IBD1967
893,,IBD1968
894,,IBD1969
895,1.10172903719858,IBD1970
896,1.24649927357615,IBD1971
897,1.4220128306649098,IBD1972
898,1.92346747795636,IBD1973
899,7.121744700758151,IBD1974
900,6.3185206413772095,IBD1975
901,6.8940233856196995,IBD1976
902,6.40247433699846,IBD1977
903,6.21503369600729,IBD1978
904,9.47222503384033,IBD1979
905,10.10906978704,IBD1980
906,7.101845375681571,IBD1981
907,5.456836171495699,IBD1982
908,6.532866309631999,IBD1983
909,6.48172027919694,IBD1984
910,6.13353675361357,IBD1985
911,2.80618859062411,IBD1986
912,4.18007046629103,IBD1987
913,3.4144364062186097,IBD1988
914,5.081090421733,IBD1989
915,6.07117448168739,IBD1990
916,2.69971444419944,IBD1991
917,2.82236055109502,IBD1992
918,2.9180796035842698,IBD1993
919,2.42939554982936,IBD1994
920,2.4254522745364198,IBD1995
921,2.9759261928294998,IBD1996
922,2.4814685671184002,IBD1997
923,1.28406613036283,IBD1998
924,2.3346805507792796,IBD1999
925,4.17084685619063,IBD2000
926,3.11500875043988,IBD2001
927,3.25536024481024,IBD2002
928,3.52992121298181,IBD2003
929,4.59825847720795,IBD2004
930,5.89405064184072,IBD2005
931,5.999888204973849,IBD2006
932,5.19386264464167,IBD2007
933,6.044405411252179,IBD2008
934,3.28551534549296,IBD2009
935,3.9180119094780497,IBD2010
936,4.82063764074331,IBD2011
