code,year,residual
ETH,1994,-0.5507671897979138
ETH,1995,-0.6883177090473651
ETH,1996,0.163192851650397
ETH,1997,-0.5037776869625703
ETH,1998,-0.8442612951537228
ETH,1999,-0.7235323249469093
ETH,2000,-0.858453817539153
ETH,2001,-0.7108596161000691
ETH,2002,-0.7800149837411189
ETH,2003,-0.7809645680244833
ETH,2004,-0.7647093820384201
ETH,2005,-0.5471601939932907
ETH,2006,-0.758005251063125
ETH,2007,-0.8008539502487944
ETH,2008,-0.6839766886732227
ETH,2009,-0.8901736910225739
ETH,2010,-0.8629171029139292
ETH,2011,-0.6111170769752629
ETH,2012,-0.5194082090978338
ETH,2013,-0.4764689554233127
ETH,2014,-0.6685236538010875
ETH,2015,-0.507655904670105
ETH,2016,-0.10702036381864921
FIN,1970,1.7037470223036026
FIN,1971,1.4547547076842864
FIN,1972,1.873840572698504
FIN,1973,1.382279946251919
FIN,1974,1.5570033229428986
FIN,1975,1.4791298676842943
FIN,1976,1.5695091673607722
FIN,1977,1.6855145854902471
FIN,1978,1.4180068482440913
FIN,1979,1.276971132690763
FIN,1980,1.7530404012634535
FIN,1981,1.4979987064485192
FIN,1982,2.0641336171726135
FIN,1983,1.4092216229923125
FIN,1984,1.61351158226098
FIN,1985,1.518514497426764
FIN,1986,1.7043901142696063
FIN,1987,1.4819048147295895
FIN,1988,1.0213273631438966
FIN,1989,1.1265183403500474
FIN,1990,0.9537683623497313
FIN,1991,0.829550125168681
FIN,1992,-0.15647464140377482
FIN,1993,0.01075431796043802
FIN,1994,1.4107010922007426
FIN,1995,1.1102943220904755
FIN,1996,0.9256756374723657
FIN,1997,1.4514057822626676
FIN,1998,1.1617125935515715
FIN,1999,1.393289016338744
FIN,2000,0.8195595405821522
FIN,2001,1.3208455381156403
FIN,2002,1.091145511430854
FIN,2003,1.1308356500450212
FIN,2004,0.8610086368832635
FIN,2005,0.5882986637193297
FIN,2006,0.6817402674479911
FIN,2007,0.5805865848574723
FIN,2008,0.27424730680887377
FIN,2009,0.25017611123238914
FIN,2010,0.25036864914633505
FIN,2011,0.09448580817471319
FIN,2012,-0.10983657862018681
FIN,2013,0.0367262174311509
FIN,2014,0.1550028536448509
FIN,2015,0.0620325190477945
FIN,2016,-0.15955250418287192
FJI,1970,-0.5286297738185235
FJI,1971,-0.5493795298203326
FJI,1972,-0.6331317079584082
FJI,1973,-0.2930584060139178
FJI,1974,-0.2257482593636892
FJI,1975,-1.0510767590655008
FJI,1976,-0.7035687775770252
FJI,1977,-0.6548986033414048
FJI,1978,-0.5516092485599113
FJI,1979,-0.6973597130642619
FJI,1980,-0.8701511784541134
FJI,1981,-0.8796741271106587
FJI,1982,-0.9635653507786308
FJI,1983,-0.7168172327052171
FJI,1984,-0.850646382572668
FJI,1985,-0.7268660382606091
FJI,1986,-0.9722648069614215
FJI,1987,-0.6363877712829835
FJI,1988,-0.7286469405214344
FJI,1989,-0.7522866431292012
FJI,1990,-0.6187148750533913
FJI,1991,-0.6653780799411112
FJI,1992,0.33080863404283467
FJI,1993,0.3290366024767494
FJI,1994,-0.3455759351898968
FJI,1995,-0.7460910535907983
FJI,1996,-0.6777998144713622
FJI,1997,-0.6690927404560925
FJI,1998,-0.8956869368142533
FJI,1999,-0.5533751001789626
FJI,2000,-0.5211927274040378
FJI,2001,-0.4076648974004307
FJI,2002,-0.5062789371848333
FJI,2003,-0.5785140574104614
FJI,2004,-0.668861903523593
FJI,2005,-0.8108515116700836
FJI,2006,-0.7280411886020454
FJI,2007,-0.7460744299435724
FJI,2008,-0.7384713554135366
FJI,2009,-0.8299287279931089
FJI,2010,-0.7678380496404611
FJI,2011,-0.6873582436077766
FJI,2012,-0.5221693321217431
FJI,2013,-0.570530505927223
FJI,2014,-0.5191362618935731
FJI,2015,-0.641099384739062
